alias,ingredient_name,source,confidence,note
파,대파,seed,0.80,쪽파일 가능성 있음. 기본 의미는 대파
왕파,대파,seed,0.90,
대파흰부분,대파,seed,0.95,
대파흰대,대파,seed,0.90,
파흰부분,대파,seed,0.85,
대파채,대파,seed,0.90,
파채,대파,seed,0.80,
잔파,쪽파,seed,0.85,
둥근파,양파,seed,0.90,
양파채,양파,seed,0.95,
통마늘,마늘,seed,0.95,
깐마늘,마늘,seed,0.95,
마늘쪽,마늘,seed,0.90,
편마늘,마늘,seed,0.90,
생강편,생강,seed,0.90,
편생강,생강,seed,0.90,
알감자,감자,seed,0.85,
수미감자,감자,seed,0.90,
감자채,감자,seed,0.90,
밤고구마,고구마,seed,0.90,
호박고구마,고구마,seed,0.90,
꿀고구마,고구마,seed,0.85,
당근채,당근,seed,0.95,
무우,무,seed,0.95,구 표기법
조선무,무,seed,0.85,
무채,무,seed,0.95,
총각무,알타리무,seed,0.90,
호박,애호박,seed,0.60,단호박일 가능성 있음
애호박채,애호박,seed,0.95,
청량고추,청양고추,seed,0.95,흔한 오타
청양초,청양고추,seed,0.90,
붉은고추,홍고추,seed,0.90,
홍초,홍고추,seed,0.80,
청고추,풋고추,seed,0.70,청양고추일 가능성 있음
마른고추,건고추,seed,0.90,
태양초,건고추,seed,0.75,
배추속대,배추,seed,0.85,
알배기배추,알배추,seed,0.90,
캐비지,양배추,seed,0.85,
양배추채,양배추,seed,0.95,
청상추,상추,seed,0.90,
들깻잎,깻잎,seed,0.90,
시금치나물,시금치,seed,0.85,
정구지,부추,seed,0.90,경상 방언
솔,부추,seed,0.60,전라 방언. 다의어 주의
숙주나물,숙주,seed,0.95,
브로컬리,브로콜리,seed,0.95,오타
브록콜리,브로콜리,seed,0.90,오타
샐러리,셀러리,seed,0.95,
얘호박,애호박,seed,0.90,오타
표고,표고버섯,seed,0.95,
생표고,표고버섯,seed,0.90,
마른표고,건표고버섯,seed,0.90,
건표고,건표고버섯,seed,0.95,
느타리,느타리버섯,seed,0.95,
팽이,팽이버섯,seed,0.95,
새송이,새송이버섯,seed,0.95,
양송이,양송이버섯,seed,0.95,
목이,목이버섯,seed,0.90,
백미,쌀,seed,0.90,
멥쌀,쌀,seed,0.90,
흰쌀,쌀,seed,0.90,
현미쌀,현미,seed,0.95,
소맥분,밀가루,seed,0.85,
밀,밀가루,seed,0.60,모호. 검수 권장
녹말,전분,seed,0.90,
녹말가루,전분,seed,0.95,
전분가루,전분,seed,0.95,
감자녹말,감자전분,seed,0.90,
옥수수녹말,옥수수전분,seed,0.90,
콘스타치,옥수수전분,seed,0.85,
찹쌀분,찹쌀가루,seed,0.85,
메주콩,대두,seed,0.90,
흰콩,대두,seed,0.85,
흑태,검은콩,seed,0.90,
검정콩,검은콩,seed,0.95,
적두,팥,seed,0.85,
낙화생,땅콩,seed,0.80,
호도,호두,seed,0.90,구 표기법
백자,잣,seed,0.70,
통깨,참깨,seed,0.95,
깨,참깨,seed,0.80,들깨일 가능성 있음
흰깨,참깨,seed,0.90,
볶은깨,참깨,seed,0.90,
흑임자,검은깨,seed,0.90,
검정깨,검은깨,seed,0.95,
쇠고기,소고기,seed,0.95,
우육,소고기,seed,0.90,
소고기살,소고기,seed,0.90,
한우,소고기,seed,0.85,
돈육,돼지고기,seed,0.90,
도야지,돼지고기,seed,0.70,방언
돼지살,돼지고기,seed,0.85,
삼겹,삼겹살,seed,0.95,
통삼겹,삼겹살,seed,0.90,
돼지목살,목살,seed,0.95,
목전지,목살,seed,0.70,
전지,앞다리살,seed,0.75,
돼지앞다리,앞다리살,seed,0.95,
후지,뒷다리살,seed,0.75,
다진소고기,소고기다짐육,seed,0.95,
간소고기,소고기다짐육,seed,0.90,
소고기간것,소고기다짐육,seed,0.90,
소고기다진것,소고기다짐육,seed,0.90,
다진돼지고기,돼지고기다짐육,seed,0.95,
간돼지고기,돼지고기다짐육,seed,0.90,
돼지고기간것,돼지고기다짐육,seed,0.90,
다짐육,돼지고기다짐육,seed,0.55,소고기일 가능성 있음. 검수 권장
계육,닭고기,seed,0.85,
닭,닭고기,seed,0.85,
생닭,닭고기,seed,0.85,
닭가슴,닭가슴살,seed,0.95,
닭정육,닭다리살,seed,0.80,
닭윙,닭날개,seed,0.85,
계란,달걀,seed,0.98,가장 흔한 변형
란,달걀,seed,0.60,
계란노른자,달걀노른자,seed,0.98,
노른자,달걀노른자,seed,0.90,
계란흰자,달걀흰자,seed,0.98,
흰자,달걀흰자,seed,0.90,
생새우,새우,seed,0.90,
흰다리새우,새우,seed,0.90,
마른새우,건새우,seed,0.95,
꽃게살,꽃게,seed,0.85,
물오징어,오징어,seed,0.90,
오징어몸통,오징어,seed,0.90,
마른멸치,멸치,seed,0.90,
건멸치,멸치,seed,0.90,
디포리,국물용멸치,seed,0.70,정확히는 밴댕이. 검수 권장
